	entity	rel	tail
0	DSC Hockey Stadium in Emirate of Dubai	hasCapacity	"[""DSC Hockey Stadium"", ""Emirate of Dubai"", ""Capacity #"
1	Ferro Carril Oeste Stadium in Buenos Aires	hasCapacity	25000
2	Ferro Carril Oeste Stadium in Buenos Aires	hasCapacity	25000
3	Ferro Carril Oeste Stadium in Buenos Aires	hasCapacity	25000
4	Ferro Carril Oeste Stadium in Buenos Aires	hasCapacity	30000
5	Ferro Carril Oeste Stadium in Buenos Aires	hasCapacity	25000
6	Ferro Carril Oeste Stadium in Buenos Aires	hasCapacity	25000
7	Ferro Carril Oeste Stadium in Buenos Aires	hasCapacity	30000
8	Ferro Carril Oeste Stadium in Buenos Aires	hasCapacity	25000
9	Solomon Burke	personHasCityOfDeath	none
10	Solomon Burke	personHasCityOfDeath	none
11	Namibia	hasArea	825615
12	Namibia	hasArea	825615
13	Namibia	hasArea	825615
14	Namibia	hasArea	825615
15	Namibia	hasArea	825615
16	Namibia	hasArea	825615
17	Great Bitter Lake	hasArea	13.8
18	Great Bitter Lake	hasArea	10.9
19	Great Bitter Lake	hasArea	11.3
20	Great Bitter Lake	hasArea	12.5
21	Astroturf Hockey Stadium in Ranchi	hasCapacity	['Capacity #']
22	Astroturf Hockey Stadium in Ranchi	hasCapacity	['Capacity #']
23	Astroturf Hockey Stadium in Ranchi	hasCapacity	['Capacity #']
24	State Printing Company	companyTradesAtStockExchange	none
25	State Printing Company	companyTradesAtStockExchange	none
26	State Printing Company	companyTradesAtStockExchange	['State Printing Company', 'New York Stock Exchange']
27	Enbridge	companyTradesAtStockExchange	none
28	Enbridge	companyTradesAtStockExchange	['Enbridge Inc', 'Toronto Stock Exchange']
29	Enbridge	companyTradesAtStockExchange	['Enbridge Inc', 'Toronto Stock Exchange']
30	Enbridge	companyTradesAtStockExchange	['Enbridge Inc', 'Toronto Stock Exchange']
31	Enbridge	companyTradesAtStockExchange	['Enbridge Inc', 'Toronto Stock Exchange']
32	Enbridge	companyTradesAtStockExchange	['Enbridge Inc', 'Toronto Stock Exchange']
33	Enbridge	companyTradesAtStockExchange	['Enbridge Inc', 'Toronto Stock Exchange']
34	Enbridge	companyTradesAtStockExchange	['Enbridge Inc', 'Toronto Stock Exchange']
35	Enbridge	companyTradesAtStockExchange	['Enbridge Inc', 'Toronto Stock Exchange']
36	Enbridge	companyTradesAtStockExchange	['Enbridge Inc', 'Toronto Stock Exchange']
37	Enbridge	companyTradesAtStockExchange	['Enbridge Inc', 'Toronto Stock Exchange']
38	Enbridge	companyTradesAtStockExchange	['Enbridge Inc', 'Toronto Stock Exchange']
39	Enbridge	companyTradesAtStockExchange	['Enbridge Inc', 'Toronto Stock Exchange']
40	Enbridge	companyTradesAtStockExchange	['Enbridge Inc', 'Toronto Stock Exchange']
41	Galena Park ISD Stadium in Texas	hasCapacity	10000
42	Galena Park ISD Stadium in Texas	hasCapacity	10000
43	Galena Park ISD Stadium in Texas	hasCapacity	10000
44	A.J. Simeon Stadium in North Carolina	hasCapacity	10000
45	A.J. Simeon Stadium in North Carolina	hasCapacity	10000
46	A.J. Simeon Stadium in North Carolina	hasCapacity	10000
47	A.J. Simeon Stadium in North Carolina	hasCapacity	10000
48	A.J. Simeon Stadium in North Carolina	hasCapacity	10000
49	Costa Rica	countryLandBordersCountry	['Costa Rica', 'Nicaragua', 'Panama']
50	Costa Rica	countryLandBordersCountry	['Costa Rica', 'Nicaragua', 'Panama']
51	Costa Rica	countryLandBordersCountry	['Costa Rica', 'Nicaragua', 'Panama']
52	Costa Rica	countryLandBordersCountry	['Costa Rica', 'Nicaragua', 'Panama']
53	Costa Rica	countryLandBordersCountry	['Costa Rica', 'Nicaragua', 'Panama']
54	Costa Rica	countryLandBordersCountry	['Costa Rica', 'Nicaragua', 'Panama']
55	Costa Rica	countryLandBordersCountry	['Costa Rica', 'Nicaragua', 'Panama']
56	Costa Rica	countryLandBordersCountry	['Costa Rica', 'Nicaragua', 'Panama']
57	Costa Rica	countryLandBordersCountry	['Costa Rica', 'Nicaragua', 'Panama']
58	Austria	hasArea	83871
59	Austria	hasArea	83871
60	Austria	hasArea	83871
61	Austria	hasArea	83871
62	Austria	hasArea	83871
63	Idaho Botanical Garden	companyTradesAtStockExchange	Idaho Botanical Garden
64	Idaho Botanical Garden	companyTradesAtStockExchange	Idaho Botanical Garden
65	"Luther ""Nick"" Jeralds Stadium in North Carolina"	hasCapacity	10000
66	"Luther ""Nick"" Jeralds Stadium in North Carolina"	hasCapacity	10000
67	"Luther ""Nick"" Jeralds Stadium in North Carolina"	hasCapacity	10000
68	"Luther ""Nick"" Jeralds Stadium in North Carolina"	hasCapacity	10000
69	"Luther ""Nick"" Jeralds Stadium in North Carolina"	hasCapacity	10000
70	"Luther ""Nick"" Jeralds Stadium in North Carolina"	hasCapacity	10000
71	"Luther ""Nick"" Jeralds Stadium in North Carolina"	hasCapacity	10000
72	Godfrey Hewitt	personHasCityOfDeath	['Godfrey Hewitt', 'London']
73	Godfrey Hewitt	personHasCityOfDeath	['Godfrey Hewitt', 'London']
74	Godfrey Hewitt	personHasCityOfDeath	['Godfrey Hewitt', 'London']
75	Godfrey Hewitt	personHasCityOfDeath	['Godfrey Hewitt', 'London']
76	Godfrey Hewitt	personHasCityOfDeath	['Godfrey Hewitt', 'London']
77	Godfrey Hewitt	personHasCityOfDeath	['Godfrey Hewitt', 'London']
78	Eleuthera	hasArea	142
79	Netherlands	countryLandBordersCountry	['Netherlands', 'Belgium', 'Germany', 'Luxembourg', 'France']
80	Netherlands	countryLandBordersCountry	['Netherlands', 'Belgium', 'Germany', 'Luxembourg', 'France']
81	Netherlands	countryLandBordersCountry	['Netherlands', 'Belgium', 'Germany', 'Luxembourg', 'France']
82	Netherlands	countryLandBordersCountry	['Netherlands', 'Belgium', 'Germany', 'Luxembourg', 'France']
83	Netherlands	countryLandBordersCountry	['Netherlands', 'Belgium', 'Germany', 'Luxembourg', 'France']
84	Netherlands	countryLandBordersCountry	['Netherlands', 'Belgium', 'Germany', 'Luxembourg', 'France']
85	Netherlands	countryLandBordersCountry	['Netherlands', 'Belgium', 'Germany', 'Luxembourg', 'France']
86	Netherlands	countryLandBordersCountry	['Netherlands', 'Belgium', 'Germany', 'Luxembourg', 'France']
87	Netherlands	countryLandBordersCountry	['Netherlands', 'Belgium', 'Germany', 'Luxembourg', 'France']
88	Yuri Koptev	personHasCityOfDeath	none
89	Yuri Koptev	personHasCityOfDeath	none
90	Frank Eck Stadium in Indiana	hasCapacity	10000
91	Frank Eck Stadium in Indiana	hasCapacity	10000
92	Frank Eck Stadium in Indiana	hasCapacity	10000
